Site ID,CatalogID,ShortId,SKU
51,21580,6059,110-05-2384-09
51,21582,1079,101-01-147-08
51,21582,2335,101-01-147-08-T
51,21583,3413,110-01-526-08
51,21584,6058,110-05-2384-04
51,21585,6280,110-01-071-33
51,21585,7338,110-01-071-33-T
51,21586,5473,110-01-360-13
51,21587,2327,101-01-086-02
51,21588,5631,110-03-2138-09
51,21589,2208,110-01-093-02
51,21590,2117,101-01-149-01
51,21590,7332,101-01-149-01-T
51,21591,6291,110-03-2139-33
51,21592,4509,110-01-1341-08
51,21593,5768,110-03-2217-09
51,21594,3620,110-01-861-11
51,21595,6617,110-03-2542-33
51,21596,5223,110-03-1788-04
51,21596,6304,110-03-1788-04-T
51,21597,5531,110-03-2110-21
51,21598,6333,110-03-2487-09
51,21599,4125,101-01-1081-04
51,21600,6753,110-01-2033-41
51,21602,6675,110-15-2558-04
51,21603,5109,110-01-783-22
51,21604,6754,110-01-2034-33
51,21605,5445,110-01-2038-04
51,21606,5447,110-01-2038-21
51,21607,5112,110-01-1007-22
51,21608,4356,110-05-1243-08
51,21609,4140,110-01-1127-02
51,21610,5493,110-01-2047-09
51,21612,1105,101-01-071-01
51,21612,6428,101-01-071-01-T
51,21613,1110,101-01-071-03
51,21613,7421,101-01-071-03-T
51,21614,3635,110-01-369-13
51,21615,3667,110-21-878-02
51,21616,6697,110-01-414-02
51,21617,4972,110-03-1660-02
51,21618,2211,101-01-232-02
51,21618,7073,101-01-232-02-T
51,21619,6381,110-03-2498-04
51,21619,7631,110-03-2498-04-T
51,21620,5082,110-01-862-26
51,21621,5468,110-01-1647-13
51,21622,3948,110-05-369-02
51,21623,1194,101-01-078-01
51,21624,2024,101-01-056-08
51,21624,7345,101-01-056-08-T
51,21625,2072,101-01-067-08
51,21625,7346,101-01-067-08-T
51,21627,2077,101-01-128-02
51,21627,7347,101-01-128-02-T
51,21628,2169,110-01-057-02
51,21629,2181,109-01-057-01
51,21630,2235,109-01-001-07
51,21631,2266,110-01-148-10
51,21632,2305,110-01-260-02
51,21633,3692,110-03-883-11
51,21634,2324,110-01-155-10
51,21635,2357,101-01-273-02
51,21636,3011,110-01-138-08
51,21637,3073,110-01-374-02
51,21638,3116,110-01-407-08
51,21639,3128,110-01-374-08
51,21640,3135,110-01-417-02
51,21640,5851,110-01-417-02-T
51,21641,3146,110-01-427-02
51,21642,3156,110-01-441-04
51,21643,6382,110-03-2498-09
51,21643,7632,110-03-2498-09-T
51,21644,3225,110-01-524-02
51,21645,3227,110-01-526-02
51,21646,3228,110-01-527-02
51,21647,3242,110-01-540-02
51,21648,3245,110-01-542-02
51,21649,3252,110-01-549-02
51,21650,3255,110-01-517-02
51,21651,3612,110-15-833-02
51,21652,2004,101-01-112-07
51,21653,3372,110-01-658-02
51,21654,3382,110-01-667-02
51,21655,2435,110-01-202-08
51,21656,3400,101-01-731-02
51,21656,10174,101-01-731-02-T
51,21657,3414,101-01-558-01
51,21658,3419,110-01-527-08
51,21659,3420,110-01-717-02
51,21660,3425,110-01-495-08
51,21661,3432,110-01-313-08
51,21662,3438,110-01-724-02
51,21663,3443,110-01-728-02
51,21664,3446,110-01-746-02
51,21665,3501,110-01-748-02
51,21666,3503,110-01-750-11
51,21667,3534,110-01-785-02
51,21668,3530,110-01-782-02
51,21669,3556,110-01-811-08
51,21670,3625,110-01-866-11
51,21671,3648,101-01-854-04
51,21672,3681,110-01-903-02
51,21673,3764,110-01-953-02
51,21674,3877,101-01-843-08
51,21675,3883,110-01-994-02
51,21676,3885,110-01-986-02
51,21677,3926,110-01-995-11
51,21678,3927,110-01-996-11
51,21679,4043,110-01-1085-17
51,21680,4086,110-01-1079-02
51,21680,6261,110-01-1079-02-T
51,21681,4094,110-01-1007-08
51,21682,4096,101-01-1012-09
51,21683,4103,110-01-1135-02
51,21684,4107,110-01-1139-02
51,21684,4276,110-01-1139-02-T
51,21685,4126,110-01-1109-02
51,21686,4133,101-01-147-04
51,21686,9898,101-01-147-04-T
51,21687,4137,110-01-1124-02
51,21688,4317,110-01-1236-02
51,21689,4438,110-01-1294-02
51,21690,4472,110-01-1315-02
51,21691,4462,110-01-1306-02
51,21692,4522,110-01-820-08
51,21693,4534,110-01-1358-02
51,21694,4542,110-01-1371-04
51,21694,4965,110-01-1371-04-T
51,21695,4557,110-01-1378-02
51,21696,4562,110-01-1374-02
51,21697,4566,110-01-997-25
51,21698,4606,110-01-1316-09
51,21699,4635,110-01-1406-04
51,21700,4638,110-01-1409-04
51,21701,4655,110-01-1449-11
51,21701,9838,110-01-1449-11-T
51,21702,4656,110-01-1450-11
51,21702,9839,110-01-1450-11-T
51,21703,4667,110-01-1462-11
51,21704,4692,110-01-1366-02
51,21705,4693,110-01-1328-09
51,21706,4785,110-01-1306-08
51,21707,4789,110-01-1371-09
51,21707,7349,110-01-1371-09-T
51,21708,4802,110-01-1536-02
51,21709,4819,110-01-1569-02
51,21710,4822,110-01-1366-08
51,21711,4848,101-01-1326-06
51,21712,4850,110-01-1583-04
51,21713,4862,110-01-721-13
51,21714,4994,110-01-1685-15
51,21715,5004,110-01-1694-02
51,21716,5044,101-01-1706-02
51,21717,5051,110-01-1711-11
51,21718,5064,110-01-1321-09
